Minutes,Pressure,Rate
1365,4735.01,14.16
1366,4748.26,14.97
1371,4828.23,14.97
1372,4845.29,15.83
1377,4907.43,15.83
1378,4920.21,16.27
1382,4952.55,18.84
1385,4975.77,11
1390,5001.83,11
1395,5014.44,12.9
1400,5016.11,12.9
1403,5006.28,14.71
1408,4999.71,14.71
1409,4998.1,16.72
1413,4978.24,19.18
1418,4945.92,19.18
1423,4975.44,19.18
1428,5011.13,19.18
1433,5042.45,19.18
1434,5046.96,20.45
1439,5063.51,20.45
1444,5072.89,20.45
1447,5070.55,21.5
1452,5092.95,21.5
1457,5094.86,21.5
1462,5136.11,21.5
1465,5154.39,22.12
1468,5216.55,26.34
1473,5245.28,26.34
1478,5247.79,26.34
1483,5246.44,26.34
1487,5260.85,21.86
1492,5212.33,21.86
1497,5189.2,21.86
1501,5201.25,26.66
1506,5207.47,26.66
1511,5171.77,26.66
1513,5148.81,24.5
1518,5224.41,24.5
1526,5228.24,24.5
1526,5227.19,25.26
1531,5227.7,25.26
1536,5219.54,25.26
1541,5219.45,25.26
1546,5217.2,25.26
1551,5215.83,25.26
1556,5216.62,25.26
1561,5214.19,25.26
1566,5215.01,25.26
1571,5215.57,25.26
1576,5211.65,25.26
1581,5215.95,31.52
1586,5160.85,31.52
1591,5155.83,31.52
1596,5151.89,31.52
1601,5147.51,31.52
1606,5146.48,31.52
1611,5141.4,31.52
1615,5051.82,37.87
1620,5058.94,37.87
1625,5055.96,37.87
1630,5055.47,37.87
1635,5053.59,37.87
1640,5052.47,35.9
1645,5050.55,35.9
1647,5048.84,37.38
1652,5044.86,37.38
1657,5023.31,44.63
1662,4936.19,44.63
1667,4991.66,44.63
1672,4984.83,44.63
1677,4979.91,41.29
1682,4979.44,41.29
1687,4979.87,41.29
1692,4979.12,41.29
1696,4972.76,49.46
1697,4933.36,43.51
1702,4819.33,49.06
1707,4843.43,49.06
1712,4849.61,49.06
1717,4850.26,49.06
1722,4850.53,49.06
1727,4849.78,49.06
1732,4796.18,49.06
1735,4773.61,57
1740,4736.37,54.11
1745,4734.89,54.11
1750,4734.32,54.11
1755,4733.14,54.11
1759,4732.09,56.65
1764,4601.1,53.15
1767,4517.63,62.47
1772,4650.16,63.7
1777,4653.44,63.7
1782,4651.55,63.7
1787,4650.47,63.7
1788,4650.41,60.38
1791,4649.88,62.57
1796,4541.99,68.17
1801,4522.89,68.17
1805,4530.86,68.17
1806,4529.78,65.68
1811,4527.09,65.68
1816,4522.03,65.68
1821,4516.17,65.68
1826,4512.53,65.68
1831,4510.38,65.68
1836,4508.87,65.68
1841,4507.37,65.68
1842,4507.12,65.68
1843,4528.96,76.99
1846,4388.21,74.33
1851,4374.79,74.33
1856,4381.77,74.33
1857,4381.79,70.25
1862,4381.23,70.25
1867,4380.84,70.25
1872,4380.34,70.25
1874,4380.06,74.62
1877,4328.84,85.4
1882,4160.16,85.4
1887,4119.06,85.4
1890,4113.7,79.02
1895,4107.59,79.02
1900,4103.08,79.02
1905,4100.52,79.02
1910,4099.03,79.02
1915,4098.63,79.02
1920,4098.77,79.02
1925,4131.63,81.26
1928,3982.13,74.31
1930,3884.18,89.02
1934,3874.21,89.02
1935,3866.42,87.36
1940,3870.22,87.36
1945,3869.11,87.36
1950,3866.93,87.36
1955,3859.63,87.36
1960,3855.81,87.36
1965,3872.56,87.36
1968,3781.82,80.62
1970,3755.74,95.72
1975,3653.43,95.72
1980,3666.08,95.72
1985,3659.7,95.72
1990,3655.21,95.72
1995,3729.67,95.72
2000,3761.59,95.72
2005,3760.73,95.72
2010,3743.05,95.72
2015,3776.06,95.72
2020,3762.44,95.72
2025,3758.11,95.72
2030,3756.68,95.72
2036,3756.51,95.72
2041,3750.87,95.72
2046,3747.83,95.72
2051,3752.61,95.72
2056,3762.08,95.72
2061,3780.16,95.72
2066,3791.03,95.72
2071,3797.32,95.72
2076,3774.78,95.72
2081,3759.37,95.72
2086,3751.27,95.72
2091,3744.53,95.72
2096,3740.39,95.72
2101,3738.43,95.72
2106,3732.9,95.72
2111,3727.79,95.72
2116,3722.13,95.72
2121,3717.12,95.72
2126,3713.9,95.72
2131,3717.39,95.72
2136,3743.71,95.72
2141,3750.3,95.72
2146,3772.62,95.72
2151,3746.63,95.72
2156,3744.78,95.72
2161,3755.76,95.72
2166,3773.07,95.72
2171,3779.49,95.72
2176,3794.11,95.72
2181,3802.04,95.72
2186,3794.17,95.72
2191,3784.15,95.72
2196,3777.99,95.72
2201,3774.78,95.72
2206,3774.08,95.72
2211,3775.09,95.72
2216,3777.12,95.72
2221,3778.74,95.72
2226,3780.01,95.72
2231,3779.65,95.72
2236,3777.56,95.72
2241,3773.75,95.72
2246,3769.91,95.72
2251,3766.63,95.72
2256,3764.5,95.72
2261,3762.5,95.72
2266,3760.45,95.72
2271,3758.7,95.72
2276,3757.14,95.72
2281,3754.86,95.72
2286,3753.55,95.72
2291,3751.95,95.72
2296,3750.36,95.72
2301,3748.64,95.72
2306,3747.05,95.72
2311,3745.56,95.72
2316,3744.62,95.72
2321,3743.74,95.72
2326,3743.73,95.72
2331,3742.41,95.72
2336,3741.35,95.72
2341,3740.26,95.72
2346,3739.5,95.72
2351,3738.24,95.72
2356,3737.82,95.72
2361,3737.17,95.72
2366,3736.07,95.72
2371,3734.59,95.72
2377,3732.86,95.72
2382,3731.56,95.72
2387,3730.94,95.72
2392,3729.87,95.72
2397,3728.92,95.72
2402,3726.68,95.72
2407,3724.25,95.72
2412,3724.35,95.72
2417,3724.41,95.72
2422,3724.21,95.72
2427,3723.01,95.72
2432,3721.88,95.72
2437,3720.56,95.72
2442,3718.9,95.72
2447,3717.35,95.72
2452,3717.29,95.72
2457,3717.11,95.72
2462,3715.26,95.72
2467,3714.07,95.72
2472,3712.99,95.72
2477,3712.66,95.72
2482,3714.57,95.72
2487,3715.34,95.72
2492,3713.74,95.72
2497,3712.2,95.72
2502,3710.85,95.72
2507,3710.17,95.72
2512,3710.14,95.72
2517,3711.03,95.72
2522,3711.06,95.72
2527,3709.71,95.72
2532,3709.42,95.72
2537,3710.34,95.72
2538,3712.01,0
2543,5116.78,0
2548,5162.65,0
2553,5187.68,0
2558,5205.09,0
2563,5218.63,0
2568,5229.85,0
2573,5239.6,0
2578,5247.91,0
2583,5255.4,0
2588,5262.19,0
2593,5268.37,0
2598,5274.02,0
2603,5279.23,0
2608,5284.08,0
2613,5288.58,0
2618,5292.83,0
2623,5296.82,0
2628,5300.56,0
2633,5304.12,0
2638,5307.47,0
2643,5310.68,0
2648,5313.71,0
2653,5316.57,0
2658,5319.38,0
2663,5321.98,0
2668,5324.49,0
2673,5326.91,0
2678,5329.22,0
2683,5331.46,0
2688,5333.59,0
2693,5335.66,0
2698,5337.66,0
2703,5339.59,0
2708,5341.42,0
2713,5343.24,0
2718,5344.97,0
2723,5346.66,0
2728,5348.28,0
2733,5349.88,0
2738,5351.41,0
2743,5352.89,0
2748,5354.34,0
2753,5355.76,0
2758,5357.11,0
2763,5358.43,0
2768,5359.76,0
2773,5361.01,0
2778,5362.2,0
2783,5363.39,0
2788,5364.56,0
2793,5365.7,0
2798,5366.8,0
2803,5367.88,0
2808,5368.94,0
2814,5369.96,0
2819,5370.98,0
2824,5371.96,0
2829,5372.95,0
2834,5373.87,0
2839,5374.83,0
2844,5375.69,0
2849,5376.58,0
2854,5377.45,0
2859,5378.29,0
2864,5379.1,0
2869,5379.93,0
2874,5380.72,0
2879,5381.51,0
2884,5382.26,0
2889,5383.02,0
2894,5383.73,0
2899,5384.46,0
2904,5385.16,0
2909,5385.88,0
2914,5386.54,0
2919,5387.22,0
2924,5387.87,0
2929,5388.52,0
2934,5389.15,0
2939,5389.77,0
2944,5390.38,0
2949,5390.99,0
2954,5391.59,0
2959,5392.13,0
2964,5392.75,0
2969,5393.29,0
2974,5393.87,0
2979,5394.39,0
2984,5394.95,0
2989,5395.49,0
2994,5395.97,0
2999,5396.5,0
3004,5396.99,0
3009,5397.49,0
3014,5397.99,0
3019,5398.44,0
3024,5398.93,0
3029,5399.4,0
3034,5399.86,0
3039,5400.31,0
3044,5400.75,0
3049,5401.21,0
3054,5401.63,0
3059,5402.05,0
3064,5402.48,0
3069,5402.9,0
3074,5403.32,0
3079,5403.72,0
3084,5404.11,0
3089,5404.52,0
3094,5404.9,0
3099,5405.27,0
3104,5405.67,0
3109,5406.03,0
3114,5406.4,0
3119,5406.76,0
3124,5407.13,0
3129,5407.48,0
3134,5407.83,0
3139,5408.18,0
3144,5408.52,0
3149,5408.86,0
3155,5409.19,0
3160,5409.54,0
3165,5409.85,0
3170,5410.18,0
3175,5410.5,0
3180,5410.83,0
3185,5411.12,0
3190,5411.43,0
3195,5411.74,0
3200,5412.03,0
3205,5412.35,0
3210,5412.64,0
3215,5412.93,0
3220,5413.2,0
3225,5413.49,0
3230,5413.78,0
3235,5414.05,0
3240,5414.35,0
3245,5414.59,0
3250,5414.86,0
3255,5415.15,0
3260,5415.4,0
3265,5415.66,0
3270,5415.92,0
3275,5416.17,0
3280,5416.44,0
3285,5416.68,0
3290,5416.94,0
3295,5417.18,0
3300,5417.42,0
3305,5417.64,0
3310,5417.9,0
3315,5418.14,0
3320,5418.37,0
3325,5418.61,0
3330,5418.83,0
3335,5419.05,0
3340,5419.29,0
3345,5419.51,0
3350,5419.73,0
3355,5419.93,0
3360,5420.16,0
3365,5420.37,0
3370,5420.58,0
3375,5420.8,0
3380,5420.98,0
3385,5421.23,0
3390,5421.42,0
3395,5421.62,0
3400,5421.8,0
3405,5422.01,0
3410,5422.21,0
3415,5422.42,0
3420,5422.59,0
3425,5422.81,0
3430,5422.98,0
3435,5423.19,0
3440,5423.37,0
3445,5423.56,0
3450,5423.73,0
3455,5423.92,0
3460,5424.09,0
3465,5424.27,0
3470,5424.45,0
3475,5424.63,0
3480,5424.8,0
3485,5424.97,0
3490,5425.15,0
3496,5425.33,0
3501,5425.5,0
3506,5425.66,0
3511,5425.83,0
3516,5425.99,0
3521,5426.17,0
3526,5426.33,0
3531,5426.5,0
3536,5426.63,0
3541,5426.8,0
3544,5426.9,7.08
3549,5408.63,7.08
3554,5301.4,7.08
3556,5178.34,6.51
3561,5154.73,6.51
3563,5152.46,16.3
3568,5115.17,16.3
3573,5055.26,16.3
3578,5049.52,16.3
3583,5053.29,16.3
3584,5053.04,49.25
3589,5012.53,49.25
3594,5008.28,49.25
3599,5005.44,49.25
3604,5003.84,49.25
3609,5001.77,49.25
3614,5000.98,49.25
3619,5000.28,49.25
3624,4999.03,49.25
3629,4998.03,49.25
3634,4997.76,49.25
3639,4996.67,49.25
3644,4996.48,49.25
3649,4995.73,49.25
3654,4995.4,49.25
3654,4995.74,47.25
3659,4994.59,47.25
3664,4994.74,47.25
3669,4993.44,47.25
3674,4993.04,47.25
3679,4992.28,47.25
3684,4991.68,47.25
3689,4992.01,47.25
3694,4991.53,47.25
3699,4991.09,47.25
3704,4990.09,47.25
3709,4989.93,47.25
3714,4989.77,47.25
3720,4989.17,47.25
3725,4988.86,47.25
3730,4988.75,47.25
3735,4988.41,47.25
3740,4988.42,47.25
3745,4987.7,47.25
3750,4987.48,47.25
3755,4987.22,47.25
3760,4986.94,47.25
3765,4986.63,47.25
3770,4986.47,47.25
3775,4986.29,47.25
3780,4985.86,47.25
3785,4985.6,47.25
3790,4985.64,47.25
3795,4985.29,47.25
3800,4984.96,47.25
3805,4984.69,47.25
3810,4984.4,47.25
3815,4984.35,47.25
3820,4984,47.25
3825,4984.04,47.25
3830,4983.6,47.25
3835,4983.54,47.25
3840,4983.4,47.25
3845,4983.13,47.25
3850,4982.9,47.25
3855,4982.84,47.25
3860,4982.43,47.25
3865,4982.36,47.25
3870,4982.07,47.25
3875,4981.73,47.25
3880,4981.28,47.25
3885,4980.58,47.25
3890,4980.85,47.25
3895,4980.23,47.25
3900,4980.11,47.25
3905,4979.99,47.25
3910,4979.62,47.25
3915,4979.61,47.25
3920,4979.2,47.25
3925,4979.14,47.25
3930,4978.89,47.25
3935,4978.52,47.25
3940,4978.22,47.25
3945,4978.26,47.25
3950,4977.98,47.25
3955,4977.81,47.25
3960,4977.8,47.25
3965,4977.43,47.25
3970,4977.29,47.25
3975,4976.99,47.25
3980,4976.9,47.25
3985,4976.64,47.25
3990,4976.61,47.25
3995,4976.25,47.25
4000,4975.96,47.25
4005,4975.62,47.25
4010,4975.63,47.25
4015,4975.2,47.25
4020,4975.15,47.25
4025,4975.17,47.25
4030,4974.77,47.25
4035,4974.79,47.25
4040,4974.65,47.25
4045,4974.46,47.25
4050,4974.5,47.25
4055,4974.03,47.25
4061,4973.85,47.25
4066,4973.71,47.25
4071,4973.51,47.25
4076,4973.52,47.25
4081,4973.11,47.25
4086,4972.98,47.25
4091,4973.14,47.25
4096,4972.86,47.25
4101,4961.33,47.25
4106,4870.09,47.25
4108,4873.65,83.02
4113,4431.45,83.02
4118,4259.45,83.02
4123,4238.94,83.02
4128,4232.69,83.02
4133,4228.55,83.02
4138,4225.79,83.02
4143,4224.24,83.02
4148,4222.45,83.02
4153,4219.89,83.02
4158,4217.63,83.02
4163,4215.5,83.02
4168,4213.52,83.02
4174,4211.51,83.02
4179,4209.45,83.02
4184,4207.61,83.02
4189,4205.76,83.02
4194,4204.16,83.02
4199,4202.29,83.02
4204,4200.45,83.02
4209,4198.82,83.02
4214,4196.84,83.02
4219,4195.52,83.02
4224,4194.01,83.02
4229,4192.73,83.02
4234,4191.4,83.02
4239,4190.01,83.02
4244,4188.71,83.02
4249,4187.56,83.02
4254,4186.34,83.02
4259,4185.05,83.02
4264,4184.33,83.02
4269,4183.23,83.02
4274,4181.98,83.02
4279,4180.89,83.02
4284,4179.92,83.02
4289,4179.01,83.02
4294,4177.91,83.02
4299,4177.34,83.02
4304,4176.72,83.02
4309,4175.8,83.02
4314,4174.75,83.02
4319,4173.98,83.02
4324,4173.13,83.02
4329,4172.13,83.02
4334,4171.26,83.02
4339,4170.67,83.02
4344,4169.88,83.02
4349,4169.06,83.02
4354,4169.06,83.02
4359,4168.15,83.02
4364,4167.34,83.02
4369,4166.76,83.02
4374,4165.78,83.02
4379,4165.37,83.02
4384,4164.56,83.02
4389,4164.12,83.02
4394,4163.34,83.02
4399,4162.99,83.02
4404,4162.13,83.02
4409,4161.67,83.02
4414,4161.21,83.02
4419,4160.38,83.02
4424,4159.98,83.02
4429,4159.8,83.02
4434,4159.13,83.02
4439,4158.62,83.02
4444,4157.88,83.02
4449,4157.32,83.02
4454,4156.64,83.02
4459,4156.2,83.02
4464,4155.74,83.02
4469,4155.22,83.02
4474,4154.85,83.02
4479,4154.44,83.02
4484,4154.01,83.02
4489,4153.64,83.02
4494,4153.15,83.02
4499,4152.48,83.02
4504,4152.24,83.02
4509,4152.05,83.02
4515,4151.4,83.02
4520,4151.09,83.02
4525,4150.69,83.02
4530,4150.4,83.02
4535,4150.08,83.02
4540,4150.32,83.02
4545,4149.44,83.02
4550,4148.97,83.02
4555,4148.62,83.02
4560,4149.4,83.02
4565,4148.63,83.02
4570,4148.14,83.02
4575,4147.65,83.02
4580,4147.19,83.02
4585,4146.85,83.02
4590,4146.54,83.02
4595,4146.36,83.02
4600,4145.97,83.02
4605,4145.51,83.02
4610,4145.11,83.02
4615,4144.71,83.02
4620,4144.64,83.02
4625,4144.21,83.02
4630,4143.72,83.02
4635,4143.48,83.02
4638,4145.8,0
4643,5158.55,0
4648,5193.68,0
4653,5213.44,0
4658,5227.78,0
4663,5238.39,0
4668,5247.46,0
4673,5255.31,0
4678,5262.11,0
4683,5268.33,0
4688,5273.85,0
4693,5278.94,0
4698,5283.51,0
4703,5287.87,0
4708,5291.82,0
4713,5295.54,0
4718,5299.02,0
4724,5302.27,0
4729,5305.37,0
4734,5308.4,0
4739,5311.07,0
4744,5313.7,0
4749,5316.23,0
4754,5318.6,0
4759,5320.93,0
4764,5323.09,0
4769,5325.22,0
4774,5327.2,0
4779,5329.15,0
4784,5330.99,0
4789,5332.79,0
4794,5334.55,0
4799,5336.19,0
4804,5337.82,0
4809,5339.38,0
4814,5340.88,0
4819,5342.35,0
4824,5343.78,0
4829,5345.14,0
4834,5346.47,0
4839,5347.81,0
4844,5349.06,0
4849,5350.26,0
4854,5351.43,0
4859,5352.62,0
4864,5353.73,0
4869,5354.83,0
4874,5355.9,0
4879,5356.97,0
4884,5358,0
4889,5358.98,0
4894,5359.97,0
4899,5360.89,0
4904,5361.81,0
4909,5362.76,0
4914,5363.61,0
4919,5364.45,0
4924,5365.32,0
4929,5366.14,0
4934,5366.97,0
4939,5367.75,0
4944,5368.54,0
4949,5369.29,0
4954,5370.04,0
4959,5370.79,0
4964,5371.5,0
4969,5372.2,0
4974,5372.9,0
4979,5373.58,0
4984,5374.22,0
4989,5374.91,0
4994,5375.57,0
4999,5376.16,0
5004,5376.77,0
5009,5377.38,0
5014,5377.98,0
5019,5378.56,0
5024,5379.15,0
5029,5379.72,0
5034,5380.27,0
5039,5380.83,0
5044,5381.36,0
5049,5381.9,0
5054,5382.43,0
5060,5382.94,0
5065,5383.45,0
5070,5383.96,0
5075,5384.44,0
5080,5384.92,0
5085,5385.4,0
5090,5385.86,0
5095,5386.34,0
5100,5386.78,0
5105,5387.24,0
5110,5387.66,0
5115,5388.12,0
5120,5388.56,0
5125,5388.97,0
5130,5389.39,0
5135,5389.82,0
5140,5390.21,0
5145,5390.61,0
5150,5391.01,0
5155,5391.41,0
5160,5391.79,0
5165,5392.18,0
5170,5392.57,0
5175,5392.93,0
5180,5393.29,0
5185,5393.68,0
5190,5394.02,0
5195,5394.37,0
5200,5394.71,0
5205,5395.07,0
5210,5395.4,0
5215,5395.76,0
5220,5396.09,0
5225,5396.41,0
5230,5396.74,0
5235,5397.07,0
5240,5397.38,0
5245,5397.7,0
5250,5398.04,0
5255,5398.32,0
5260,5398.62,0
5265,5398.92,0
5270,5399.22,0
5275,5399.52,0
5280,5399.82,0
5285,5400.1,0
5290,5400.42,0
5295,5400.67,0
5300,5400.95,0
5305,5401.23,0
5310,5401.51,0
5315,5401.78,0
5320,5402.05,0
5325,5402.35,0
5330,5402.58,0
5335,5402.85,0
5340,5403.1,0
5345,5403.36,0
5350,5403.61,0
5355,5403.87,0
5360,5404.11,0
5365,5404.38,0
5370,5404.58,0
5375,5404.85,0
5380,5405.09,0
5385,5405.32,0
5390,5405.57,0
5395,5405.81,0
5401,5406.02,0
5406,5406.27,0
5411,5406.49,0
5416,5406.72,0
5421,5406.95,0
5426,5407.16,0
5431,5407.39,0
5436,5407.6,0
5441,5407.82,0
5446,5408.02,0
5451,5408.27,0
5456,5408.45,0
5461,5408.66,0
5466,5408.87,0
5471,5409.07,0
5476,5409.28,0
5481,5409.49,0
5486,5409.68,0
5491,5409.88,0
5496,5410.07,0
5501,5410.27,0
5506,5410.49,0
5511,5410.65,0
5516,5410.83,0
5521,5411.04,0
5526,5411.23,0
5531,5411.42,0
5536,5411.6,0
5541,5411.78,0
5546,5411.97,0
5551,5412.15,0
5556,5412.33,0
5561,5412.52,0
5566,5412.69,0
5571,5412.86,0
5576,5413.04,0
5581,5413.21,0
5586,5413.38,0
5591,5413.54,0
5596,5413.71,0
5601,5413.89,0
5606,5414.05,0
